firstpost_date,content
10-03-2015,Watched my 15-17 year old kids and their friends complain about snapchat new feature sets and want the old app ... It was funny $snap $twtr
12-03-2015,Twitter $TWTR Gains on 'Big Pick-Up' in Ad Dollars http://t.co/XHOrW7FWtV
15-03-2015,Europe: More Economic Trouble in 2015 http://t.co/3UrqcVukSo $FB $TWTR $LNKD http://t.co/40Nd4fgSr1
09-03-2015,Prem Watsa: Massive Bubble In Private &amp; Public Tech Firms http://t.co/tVdlvVnPbl $TWTR $NFLX $YELP $LNKD $FB $CRM http://t.co/LzemKfTAps
15-03-2015,SO important to understand these concepts https://t.co/XnAA6LHznh enjoy this free video $FB $TWTR $LNKD peeps!
01-03-2015,MUST WATCH VIDEO for all traders on $FB $TWTR $LNKD peeps http://t.co/hkjzmw8vUL gotta $STUDY it closely
12-03-2015,Integration With Google Sets Up Twitter For A Strong 2015 http://t.co/U29RPat6wN $GOOG #GOOGLE $GOOGL $TWTR
10-03-2015,The Best Email I Ever Received http://t.co/NyRvzLqkhH get inspired $FB $TWTR $LNKD peeps!
19-03-2015,$TWTR The BIG picture. Looks like it wants to clear this DT very soon. http://t.co/z3faBdRByI
15-03-2015,interesting times for Meerkat + Twitter $TWTR http://t.co/jrvG9Tju9x http://t.co/fXZyTPypyo
09-03-2015,I LOVE when http://t.co/EcfUM63rtt students send me home videos like this! http://t.co/NSYmqodwaM he tripled his $ $FB $TWTR $LNKD go $STUDY
14-03-2015,"http://t.co/Iwhg1tvn57 New http://t.co/e6WZUKUI5N trade alert, gotta stick to http://t.co/Bhf1ZAnMKz learn them $FB $TWTR $LNKD"
05-03-2015,$TWTR investment feeds filled with peeps trying to sell stuff inc'd hatred outright BS and lies cutsy quips and little value added research
15-03-2015,This will happen again http://t.co/tKz3UsTIpS the question is who on $TWTR $FB ??
05-03-2015,Odd that @PaulReverePress files a complaint against #NSA trolls and gets suspended. #tcot #ocra @wsj @theblaze @glennbeck @dickc  $TWTR
11-03-2015,"GREAT video of several millionaire traders talking/debating https://t.co/a4uSYSWA6e MUST WATCH $FB $TWTR $LNKD peeps, go $STUDY"
09-03-2015,$TWTR Study of TV Viewers Backs Twitter’s Claims to Be Barometer of Public Mood http://t.co/jgkwBpzcJn
03-03-2015,"http://t.co/r6djdbYMry Nice $3,000ish profit thanks to $TWTR"
03-03-2015,$TWTR agrees to pay Anthony Noto $650K to cover moving expenses from CT to SF. http://t.co/BRxJtWhQ5J
19-03-2015,"$TWTR wants to break out and move higher. If it breaks 47.72, we can run to 50 easily and then booom... http://t.co/DtzMphEuoW"
09-03-2015,$TWTR is on a different planet: growing revenue faster and spending more on R&amp;D than every peer... by a LOT. http://t.co/SGM5xeRVE3
08-03-2015,"Who's the next http://t.co/IYL0B2zJQd &amp; http://t.co/tgVqDSlWSE I'm very curious $FB $TWTR $LNKD peeps, who wants it the most? $STUDY"
08-03-2015,Harrison Ford's Son Thanks His Dad's Fans For Their Concern Via Twitter -… http://t.co/bdMIpurgk4 #Twitter • $TWTR http://t.co/rmo9vchW2b
10-03-2015,Smart by Twitter buying unlaunched Periscope based on #meerkat success http://t.co/lNggZP5mjp $twtr its all play money in 2015 so far
13-03-2015,Congrats Stephanie!   RT @Stephanie_Link: Hi everyone! Just letting you know I'm back on $TWTR.  Started a new job @ TIAA-CREF on Feb 23rd.
03-03-2015,What Will Twitter Look Like On Google? $GOOG $GOOGL $TWTR http://t.co/SIVDbE54mJ
17-03-2015,"Pinterest Picks Up $367 Million in Capital, Secures $11 Billion Valuation $TWTR http://t.co/BX6di6R464 http://t.co/IHaEY3DdNj"
20-03-2015,$TWTR if it breaks 48.14 look for a major move north !!
09-03-2015,Where is $TWTR Money Going? To Build a Giant. - Article Monday Shows You Something You Simply Have Never Seen Before http://t.co/lKkoD0d0cu
13-03-2015,Have you seen http://t.co/BlZoIOAItV &amp; http://t.co/QCH3DQJ3sG yet? Just the beginning thanks to http://t.co/EcfUM6l2S3 $TWTR
15-03-2015,This interview is the most important one I have watched all week.  http://t.co/n7kV5FmWwW $TWTR
19-03-2015,$TWTR next up 47.83 if it can get rockin then it heads to 48 (holding)
17-03-2015,The Biggest Asshole I've Never Met http://t.co/Wgg84eDFQj learn $TWTR
17-03-2015,http://t.co/klESpUz9pB Breaking rules leads to this stuff $FB $TWTR
